Sample,qPCR,LAMP,Tissue,
P1,0,0,Lung,
P2,0,0,Lung,
P3,0,0,Lung,
P4,0,0,Lung,
P5,0,0,Lung,
P6,0,0,Lung,
P7,56.06301419,2,Lung,
P8,0,0,Lung,
P9,0,0,Lung,
P10,0,0,Lung,
P11,0,0,Lung,
P12,0,0,Lung,
P13,0,0,Lung,
P14,0,0,Lung,
P15,0,0,Lung,
P16,0,0,Lung,
P17,0,0,Lung,
P18,0,0,Lung,
,,,Lung,
P20,0,0,Lung,
P21,0,0,Lung,
P22,0,0,Lung,
P23,0,0,Lung,
P24,0,0,Lung,
P25,0,0,Lung,
P26,34.71786884,0,Lung,
P27,0,0,Lung,
P28,0,0,Lung,
J1,0,0,Lung,
J2,11.13857666,0,Lung,
J3,74.94899158,2,Lung,
BarleyBliss Lung 1,13.73974354,0,Lung,
BarleyBliss Lung 2,0.913352258,0,Lung,
BarleyBliss Lung 3,0,0,Lung,
BarleyBliss Lung 4,943.2558874,2,Lung,
Elvidge Lung,2.97E+03,2,Lung,
P. bell Lung,0,0,Lung,
Allertoln lung,47765.5164,2,Lung,
Delph farm lung,0,0,Lung,
Delph farm lung,0,0,Lung,
Ashleigh lung 3,0,0,Lung,
Bramble Lung 1,0,0,Lung,
Bramble Lung 2,1.604062417,0,Lung,
Bramble Lung 3,0,0,Lung,
Manor Lung,0,0,Lung,
Manor Heart,0,0,Heart,
Delph farm lung,0,0,Lung,
Kano Lung,0,0,Lung,
Kano Lung,0,0,Lung,
Belmont Lung 1,5199.650327,2,Lung,
Belmont Lung 2,12.37098164,2,Lung,
Belmont Lung 3,311.2141646,2,Lung,
Ashleigh Lung 1,0,0,Lung,
Ashleigh Lung 2,0,0,Lung,
Frank Lung 1,0,0,Lung,
Frank Tobiv Lung 2,0,0,Lung,
TSC Lung 1,270.5785738,2,Lung,
TSC Heart 1,1000000,2,Heart,
TSC Lung 2,73961.90307,2,Lung,
Chestnut Farm Joint fluid,0,0,joint,
Hare Hill Lung,0,0,Lung,
East Farm Lung 1,0,0,Lung,
East Farm Lung 2,0,0,Lung,
Warter Sreets Lung + Heart,0,2,Lung,
Hall Pig 1 Lung,0,0,Lung,
Hall Pig 2 Lung,2.635969574,0,Lung,
CourtHouse Lung,12.72205746,0,Lung,
Parklane Lung,0,0,Lung,
Kate1,182,2,Oral,68
Kate2,66,2,Oral,69
Kate3,560,2,Oral,70
Kate4,369,2,Oral,71
Kate5,170,2,Oral,72
Kate6,351,2,Oral,73
Kate7,69,2,Oral,74
Kate8,31,2,Oral,75
Kate9,77,2,Oral,76
Kate10,2230,2,Oral,77
Kate11,235,0,Oral,78
Kate12,17,0,Oral,79
Kate13,35,0,Oral,80
Kate14,39,0,Oral,81
Kate15,49,0,Oral,82
Kate16,419,0,Oral,83
Kate17,11,0,Oral,84
Kate18,159,2,Oral,85
Kate19,357,2,Oral,86
Kate20,371,2,Oral,87
Kate21,1074,2,Oral,88
Kate22,78,2,Oral,89
Kate23,42,0,Oral,90
Kate24,101,2,Oral,91
Kate25,105,2,Oral,92
Kate26,14541,2,Oral,93
Kate27,16725,2,Oral,94
Kate28,778,2,Oral,95
Kate29,1486,2,Oral,96
Kate30,15486,2,Oral,97
Kate31,50515,2,Oral,98
Kate32,2029,2,Oral,99
Kate33,517,2,Oral,100
Kate34,398,2,Oral,101
Kate35,297,2,Oral,102
Kate36,142,2,Oral,103
Kate37,75,2,Oral,104
Kate38,184,2,Oral,105
Kate39,531,2,Oral,106
Kate40,53,2,Oral,107
Kate41,186,2,Oral,108
122,1396,2,Oral,109
123,1740,2,Oral,110
124,2087,2,Oral,111